crop,yield_per_m2,fertilizer_cost_per_m2,electricity_cost_per_m2,labour_cost_per_m2,season
Rice,0.60,10,4,6,Kharif
Maize,0.50,7,3,4,Kharif
Jute,0.25,6,2,7,Kharif
Cotton,0.30,12,5,8,Kharif
Coconut,1.00,5,2,4,Perennial
Papaya,10.00,14,5,6,Perennial
Orange,1.50,8,3,5,Perennial
Apple,1.20,10,2,8,Perennial
Muskmelon,2.00,8,3,5,Zaid
Watermelon,4.00,7,3,4,Zaid
Grapes,2.50,18,5,12,Perennial
Mango,1.00,6,2,4,Perennial
Banana,5.00,12,4,6,Perennial
Pomegranate,1.20,11,4,7,Perennial
Lentil,0.10,4,1,3,Rabi
Blackgram,0.08,3,1,3,Kharif
Mungbean,0.08,3,1,3,Kharif
Mothbeans,0.06,2,0.5,2,Kharif
Pigeonpeas,0.12,5,2,4,Kharif
Kidneybeans,0.12,6,2,5,Rabi
Chickpea,0.15,5,2,4,Rabi
Coffee,0.10,9,2,9,Perennial
